"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","model"
"DII_Q_numeric",1.28069987432827,0.0359132263061213,6.8890136244968,6.5625753763438e-10,1.19254556818505,1.37537064566905,"cvd_composite","Crude"
"DII_Q_numeric",1.31900084981433,0.0376043137346952,7.362839273579,9.08855387478047e-11,1.22402406698088,1.42134725022371,"cvd_composite","M1"
"DII_Q_numeric",1.20895473960152,0.0384506830121991,4.93505237981509,4.21291847051018e-06,1.11991337278492,1.30507555130843,"cvd_composite","M2"
"DII_Q_numeric",1.150407284726,0.0634901595099868,2.20689381453441,0.0303405469389676,1.01375821361916,1.30547590438348,"cvd_composite","M3"
"DII_Q_numeric",1.32323994281756,0.0560447291691915,4.99749459966091,2.71811476587116e-06,1.18387091555503,1.47901593261706,"cvd_chf","Crude"
"DII_Q_numeric",1.32459395842201,0.05573547367304,5.04357364304401,2.43035286778663e-06,1.18571198342776,1.4797431241404,"cvd_chf","M1"
"DII_Q_numeric",1.18372202129923,0.0559817981833045,3.01283158208832,0.00345306493610215,1.05894964020002,1.32319590140667,"cvd_chf","M2"
"DII_Q_numeric",1.17448882723359,0.0871669849665152,1.84511386218073,0.0689165521997229,0.987306170869224,1.39715930680559,"cvd_chf","M3"
"DII_Q_numeric",1.16184968919632,0.0768287937045606,1.95256605728758,0.0538780684712733,0.99744979419125,1.35334601114447,"cvd_chd","Crude"
"DII_Q_numeric",1.19460607489584,0.0765227133992395,2.32370859188514,0.0224457156967112,1.02607790414557,1.39081415593527,"cvd_chd","M1"
"DII_Q_numeric",1.10390631324577,0.0763977702202146,1.29395246456295,0.199359192502054,0.94823538087315,1.2851335997416,"cvd_chd","M2"
"DII_Q_numeric",0.984351508651948,0.101740526501362,-0.155023981316589,0.87721339272105,0.803798999722932,1.2054604359042,"cvd_chd","M3"
"DII_Q_numeric",1.2794353130562,0.0742089224102967,3.32060904420365,0.00128434084047208,1.1041265900185,1.48257884113431,"cvd_angina","Crude"
"DII_Q_numeric",1.29828065516852,0.0753470994541254,3.46451048600239,0.000822942156497829,1.11773496963535,1.50798955510418,"cvd_angina","M1"
"DII_Q_numeric",1.18028127404346,0.0745812065422368,2.22244698886774,0.0290411462802968,1.01751112431434,1.36908958788671,"cvd_angina","M2"
"DII_Q_numeric",1.23166336311236,0.106189201286756,1.96221066757688,0.0533990070681477,0.996876348685454,1.52174805033107,"cvd_angina","M3"
"DII_Q_numeric",1.29439525210227,0.0680796356237614,3.7903199234447,0.000267027354679834,1.13071585861388,1.48176843536873,"cvd_mi","Crude"
"DII_Q_numeric",1.31324607312877,0.068774042401896,3.96227967903686,0.000150532586801461,1.14548489131442,1.50557660049899,"cvd_mi","M1"
"DII_Q_numeric",1.20229911942972,0.0676583181005182,2.72303039398578,0.0079196491635975,1.05086835421148,1.37555114947403,"cvd_mi","M2"
"DII_Q_numeric",1.16713394023974,0.0832964163598263,1.85543540286667,0.0674115293628141,0.988716075383786,1.37774803947714,"cvd_mi","M3"
"DII_Q_numeric",1.33371778693348,0.0451460522129941,6.37863903871892,6.85892739168315e-09,1.21935162029308,1.45881065443223,"cvd_stroke","Crude"
"DII_Q_numeric",1.35367937277414,0.0486615022917467,6.2231195538078,1.60877045117666e-08,1.22890291963536,1.49112498228738,"cvd_stroke","M1"
"DII_Q_numeric",1.25395546577188,0.0514946731639201,4.39468616727,3.33427825523087e-05,1.13184006098519,1.38924602895793,"cvd_stroke","M2"
"DII_Q_numeric",1.17871592731724,0.0853049941315614,1.92750319540213,0.0576537955177455,0.99454098337666,1.39699746972131,"cvd_stroke","M3"
