"scenario","term","estimate","conf.low","conf.high","p.value"
"S1_mort_allcause_DII","DII",1.06810489564859,1.01216960967765,1.12713131988997,0.0163629745592206
"S1_mort_cvd_DII","DII",1.00340117705548,0.917457913335987,1.09739521288277,0.940756071273671
"S1_mort_allcause_sleep_disorder","sleep_disorder",1.17266448120876,0.955069464320599,1.4398345218448,0.128265557395458
"S1_mort_cvd_sleep_disorder","sleep_disorder",1.54101895257075,1.05375669418505,2.25359366662796,0.0257490298346948
"S2a_2007_2014_mort_allcause_DII","DII",1.07519393402483,1.0180966357755,1.13549338554018,0.00920982340666368
"S2a_2007_2014_mort_cvd_DII","DII",1.03120825287135,0.9529909466936,1.11584529158374,0.445117534870369
"S2a_2007_2014_mort_allcause_sleep_disorder","sleep_disorder",1.28616933066528,1.04683038802414,1.58022881841086,0.0165924257175246
"S2a_2007_2014_mort_cvd_sleep_disorder","sleep_disorder",1.56013828710031,1.06146363205449,2.2930898444115,0.023603308821316
"S2b_2015_2018_mort_allcause_DII","DII",1.11089726704724,1.01654944120559,1.2140016883679,0.0202094863019054
"S2b_2015_2018_mort_cvd_DII","DII",1.12489434637925,0.842870904716576,1.5012824424655,0.424188783820795
"S2b_2015_2018_mort_allcause_sleep_disorder","sleep_disorder",1.49161481344837,0.827732448626765,2.68796367158229,0.183272175219544
"S2b_2015_2018_mort_cvd_sleep_disorder","sleep_disorder",5.10907401725068,1.59487167339897,16.3666066362044,0.00603622612538383
"S3_GDMYes_mort_allcause_DII","DII",1.11730317698764,0.880806486693745,1.41729926852904,0.360686591780465
"S3_GDMYes_mort_allcause_sleep_disorder","sleep_disorder",1.08838031616364,0.385265507507638,3.07468924554316,0.873011164089888
"S3_GDMNo_mort_allcause_DII","DII",1.08113320285344,1.02779972940969,1.13723419929625,0.00250863428652865
"S3_GDMNo_mort_allcause_sleep_disorder","sleep_disorder",1.36068385529241,1.11842709981879,1.65541460355654,0.00207828604567007
"S3_GDMBorderline_mort_allcause_DII","DII",0.714045614311124,0.294830270656028,1.72933782607348,0.455489648628576
"S3_GDMBorderline_mort_allcause_sleep_disorder","sleep_disorder",0.588759450051604,0.061442945346473,5.64161903486883,0.645926443739465
"S5_mice_m20_DII_mort_allcause_M2","DII",1.0793930548518,1.03497806205634,1.12571407025521,0.000365666630864287
"S6_IPTW_Q4vsQ1_allcause","DII_high",1.21169916534742,0.993382499291724,1.47799550359552,0.058163939496492
"S6_IPTW_Q4vsQ1_cvd","DII_high",1.21528234961159,0.835359656933952,1.76799439261675,0.308006813101638
