"imp","log_hr","se"
1,0.0763798799833658,0.0214381888106831
2,0.0764386282792809,0.0214378679788975
3,0.076447026145655,0.0214375695756467
4,0.0763521472343136,0.0214379381263378
5,0.0764058592899724,0.0214386540267108
6,0.0764116720282013,0.0214376391781269
7,0.0763734210520844,0.0214389324403903
8,0.076371465223255,0.0214387319073803
9,0.0764361745277077,0.021437702978513
10,0.0764014275779737,0.0214391807684491
11,0.0764197566168657,0.021438385476771
12,0.076371465223255,0.0214387319073803
13,0.0763549033534935,0.0214381347752154
14,0.0763952236108678,0.0214368992075646
15,0.0764071764462284,0.02143880447489
16,0.0763545628023979,0.0214381091206617
17,0.0764255801102044,0.0214367500358845
18,0.0764101186591473,0.0214375923863987
19,0.0763518098973879,0.0214379125192426
20,0.0764696402249825,0.021437592512268
